,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1684317600,1807.55,1803.53,1807.0,3478.18,6280067.89,1805.94,direct,
1,1684321200,1806.01,1788.26,1805.94,13519.34,24260725.63,1790.31,direct,
2,1684324800,1797.09,1788.76,1790.31,6101.47,10946134.39,1794.54,direct,
3,1684328400,1800.0,1789.54,1794.54,9740.34,17482561.66,1790.33,direct,
4,1684332000,1800.24,1785.04,1790.33,9500.61,17023873.59,1798.12,direct,
5,1684335600,1800.11,1793.05,1798.12,6324.77,11362626.24,1797.2,direct,
6,1684339200,1806.23,1794.75,1797.2,9302.09,16747186.04,1804.39,direct,
7,1684342800,1820.75,1801.04,1804.39,10654.5,19276308.78,1815.97,direct,
8,1684346400,1825.23,1815.97,1815.97,11433.67,20821632.55,1818.93,direct,
9,1684350000,1833.15,1818.9,1818.93,13093.67,23947320.5,1827.88,direct,
10,1684353600,1835.27,1823.35,1827.88,9370.52,17139237.69,1826.42,direct,
11,1684357200,1829.38,1821.93,1826.42,6624.71,12091669.43,1823.69,direct,
12,1684360800,1825.63,1819.18,1823.69,5758.25,10493208.49,1820.25,direct,
13,1684364400,1824.06,1820.24,1820.25,3620.49,6597630.09,1822.22,direct,
14,1684368000,1824.54,1818.55,1822.22,5319.43,9686562.57,1820.95,direct,
15,1684371600,1824.94,1818.98,1820.95,4458.12,8123301.57,1820.36,direct,
16,1684375200,1826.74,1819.13,1820.36,3473.14,6332140.04,1825.58,direct,
17,1684378800,1827.78,1823.96,1825.58,3543.04,6469078.16,1826.68,direct,
18,1684382400,1827.2,1822.99,1826.68,2476.61,4518279.33,1823.23,direct,
19,1684386000,1824.58,1819.07,1823.23,3667.38,6680153.61,1819.49,direct,
20,1684389600,1820.68,1815.13,1819.49,4228.58,7689176.41,1817.93,direct,
21,1684393200,1831.47,1817.69,1817.93,6048.82,11040002.76,1827.23,direct,
22,1684396800,1829.45,1824.84,1827.23,2886.93,5274911.22,1826.62,direct,
23,1684400400,1828.47,1824.43,1826.62,2026.65,3701985.11,1826.43,direct,
24,1684404000,1828.39,1825.24,1826.43,2583.18,4718961.29,1826.23,direct,
25,1684407600,1826.77,1823.29,1826.23,2591.17,4728840.36,1825.38,direct,
26,1684411200,1826.45,1818.12,1825.38,4705.45,8570862.32,1818.97,direct,
27,1684414800,1820.33,1814.23,1818.97,6561.25,11920199.76,1818.55,direct,
28,1684418400,1824.25,1806.81,1818.55,8673.18,15749864.81,1816.65,direct,
29,1684422000,1820.44,1806.48,1816.65,10055.97,18206738.76,1807.78,direct,
30,1684425600,1812.82,1806.9,1807.78,7596.67,13747241.74,1810.07,direct,
31,1684429200,1811.65,1772.07,1810.07,19536.7,35022745.59,1776.93,direct,
32,1684432800,1787.84,1773.97,1776.93,12419.94,22126358.7,1786.03,direct,
33,1684436400,1801.32,1783.79,1786.03,8204.54,14711297.56,1796.05,direct,
34,1684440000,1800.3,1794.05,1796.05,4785.67,8600878.69,1797.05,direct,
35,1684443600,1820.17,1796.98,1797.05,8264.02,14950209.9,1814.52,direct,
36,1684447200,1815.37,1807.58,1814.52,5903.55,10689917.53,1809.0,direct,
37,1684450800,1809.0,1800.44,1809.0,4596.65,8293857.94,1800.56,direct,
38,1684454400,1807.83,1798.43,1800.56,3772.41,6801391.26,1804.38,direct,
39,1684458000,1807.14,1797.46,1804.38,3758.07,6770411.56,1799.66,direct,
40,1684461600,1802.37,1797.72,1799.66,2292.4,4126469.38,1800.5,direct,
41,1684465200,1803.72,1798.14,1800.5,1967.04,3544306.69,1801.59,direct,
42,1684468800,1804.7,1799.36,1801.59,1906.23,3434144.01,1804.67,direct,
43,1684472400,1806.96,1803.34,1804.67,2617.18,4724896.57,1805.75,direct,
44,1684476000,1808.9,1803.91,1805.75,4395.36,7941565.05,1807.64,direct,
45,1684479600,1810.72,1805.94,1807.64,2174.23,3931611.71,1806.36,direct,
46,1684483200,1810.91,1803.9,1806.36,1437.55,2600240.87,1808.67,direct,
47,1684486800,1811.61,1807.05,1808.67,2108.54,3812989.03,1808.07,direct,
48,1684490400,1811.83,1806.53,1808.07,2848.09,5152743.94,1807.26,direct,
49,1684494000,1809.54,1805.79,1807.26,3450.33,6238033.26,1807.99,direct,
50,1684497600,1817.94,1807.97,1807.99,5739.69,10415419.78,1815.0,direct,
51,1684501200,1818.7,1813.18,1815.0,5057.7,9186495.34,1815.48,direct,
52,1684504800,1815.53,1807.53,1815.48,7172.78,12983208.92,1810.95,direct,
53,1684508400,1829.63,1801.73,1810.95,19769.15,35901275.87,1815.93,direct,
54,1684512000,1818.88,1811.89,1815.93,8911.24,16175798.08,1812.66,direct,
55,1684515600,1822.47,1810.93,1812.66,7093.82,12892096.42,1819.27,direct,
56,1684519200,1822.57,1816.23,1819.27,6869.26,12493786.17,1817.83,direct,
57,1684522800,1817.83,1807.65,1817.83,5497.22,9961195.08,1811.58,direct,
58,1684526400,1815.97,1810.05,1811.58,3029.52,5492849.14,1812.73,direct,
59,1684530000,1815.64,1812.33,1812.73,2385.77,4327782.01,1814.46,direct,
60,1684533600,1815.25,1812.44,1814.46,2849.86,5168277.81,1812.58,direct,
61,1684537200,1814.47,1811.42,1812.58,2688.69,4875443.76,1812.73,direct,
62,1684540800,1814.19,1807.55,1812.73,2933.71,5311915.7,1809.08,direct,
63,1684544400,1811.77,1808.69,1809.08,1363.37,2467833.65,1810.37,direct,
64,1684548000,1812.43,1808.48,1810.37,1463.29,2649200.65,1809.35,direct,
65,1684551600,1813.97,1808.82,1809.35,1592.06,2884231.67,1813.89,direct,
66,1684555200,1814.46,1812.02,1813.89,1040.67,1886757.69,1813.97,direct,
67,1684558800,1814.05,1809.93,1813.97,1281.07,2320261.85,1811.23,direct,
68,1684562400,1811.67,1809.06,1811.23,1136.33,2056728.77,1810.39,direct,
69,1684566000,1812.34,1810.03,1810.39,1020.92,1849202.19,1811.79,direct,
70,1684569600,1815.32,1811.77,1811.79,2820.65,5117068.33,1815.18,direct,
71,1684573200,1816.5,1813.05,1815.18,1541.05,2796383.13,1813.64,direct,
72,1684576800,1815.45,1813.44,1813.64,1066.2,1934427.34,1813.65,direct,
73,1684580400,1815.11,1812.15,1813.65,1054.6,1912485.49,1813.55,direct,
74,1684584000,1817.6,1813.55,1813.55,1504.78,2731215.29,1814.06,direct,
75,1684587600,1816.27,1812.93,1814.06,1222.77,2218818.72,1814.64,direct,
76,1684591200,1820.56,1814.55,1814.64,4592.29,8352846.55,1819.98,direct,
77,1684594800,1821.28,1817.28,1819.98,2977.99,5418662.89,1818.07,direct,
78,1684598400,1818.77,1815.79,1818.07,1629.76,2961248.95,1816.55,direct,
79,1684602000,1827.87,1814.18,1816.55,7498.49,13647931.52,1827.44,direct,
80,1684605600,1829.44,1820.39,1827.44,6114.19,11167877.01,1820.53,direct,
81,1684609200,1823.04,1815.3,1820.53,4077.61,7417951.92,1821.95,direct,
82,1684612800,1823.49,1816.1,1821.95,6159.28,11209873.99,1817.09,direct,
83,1684616400,1818.26,1813.15,1817.09,6755.53,12260677.08,1817.75,direct,
84,1684620000,1819.11,1816.21,1817.75,1719.43,3125258.12,1818.86,direct,
85,1684623600,1820.76,1817.57,1818.86,1727.6,3142226.83,1820.02,direct,
86,1684627200,1828.16,1817.39,1820.02,5306.56,9672266.35,1827.13,direct,
87,1684630800,1828.49,1818.07,1827.13,2913.86,5309653.98,1818.3,direct,
88,1684634400,1820.14,1817.67,1818.3,1219.92,2218778.56,1819.46,direct,
89,1684638000,1819.98,1818.34,1819.46,956.15,1739348.39,1818.74,direct,
90,1684641600,1818.74,1815.99,1818.74,2599.94,4724245.59,1817.35,direct,
91,1684645200,1817.84,1814.72,1817.35,1403.24,2548588.33,1815.61,direct,
92,1684648800,1816.32,1814.03,1815.61,1276.69,2317148.03,1815.91,direct,
93,1684652400,1817.86,1814.53,1815.91,814.46,1479320.52,1817.5,direct,
94,1684656000,1817.51,1813.97,1817.5,1215.68,2206946.52,1816.23,direct,
95,1684659600,1817.84,1813.31,1816.23,1675.35,3041503.14,1817.46,direct,
96,1684663200,1817.57,1808.95,1817.46,2795.75,5068205.65,1810.8,direct,
97,1684666800,1813.81,1807.31,1810.8,3090.03,5593315.1,1810.06,direct,
98,1684670400,1815.21,1809.47,1810.06,2336.82,4233421.54,1814.55,direct,
99,1684674000,1814.77,1813.02,1814.55,1024.17,1857728.8,1813.37,direct,
100,1684677600,1818.29,1812.1,1813.37,2321.76,4215227.91,1812.78,direct,
101,1684681200,1817.5,1803.84,1812.78,5326.69,9636114.04,1808.1,direct,
102,1684684800,1811.34,1805.15,1808.1,4958.31,8962046.71,1808.0,direct,
103,1684688400,1809.26,1803.46,1808.0,3036.31,5486035.87,1807.46,direct,
104,1684692000,1809.35,1806.21,1807.46,2399.47,4337378.99,1807.22,direct,
105,1684695600,1810.83,1806.72,1807.22,1463.54,2647174.22,1810.77,direct,
106,1684699200,1812.34,1806.13,1810.77,2814.58,5094454.63,1806.39,direct,
107,1684702800,1806.82,1798.64,1806.39,5616.0,10121040.26,1804.37,direct,
108,1684706400,1807.56,1803.54,1804.37,2254.27,4070699.41,1805.99,direct,
109,1684710000,1808.77,1803.59,1805.99,1876.19,3389909.11,1805.42,direct,
